Filename|City|Competition|GameDate|NumberOfDays|Gender|MatchType|NeutralVenue|OutcomeBy|OutcomeValue|BowlOut|Method|Result|Winner|Overs|PlayerOfMatch|PlayerOfMatchAdditional|HomeTeam|AwayTeam|TossWinner|TossDecision|Umpire1|Umpire2|Venue|SuperOver|AddedDate
1082591.yaml|Hyderabad|IPL|2017-04-05 |1|male|T20||runs|35||||Sunrisers Hyderabad|20|Yuvraj Singh||Sunrisers Hyderabad|Royal Challengers Bangalore|Royal Challengers Bangalore|field|AY Dandekar|NJ Llong|Rajiv Gandhi International Stadium, Uppal||2021-01-26
1082592.yaml|Pune|IPL|2017-04-06 |1|male|T20||wickets|7||||Rising Pune Supergiant|20|SPD Smith||Rising Pune Supergiant|Mumbai Indians|Rising Pune Supergiant|field|A Nand Kishore|S Ravi|Maharashtra Cricket Association Stadium||2021-01-26
1082593.yaml|Rajkot|IPL|2017-04-07 |1|male|T20||wickets|10||||Kolkata Knight Riders|20|CA Lynn||Gujarat Lions|Kolkata Knight Riders|Kolkata Knight Riders|field|Nitin Menon|CK Nandan|Saurashtra Cricket Association Stadium||2021-01-26
1082594.yaml|Indore|IPL|2017-04-08 |1|male|T20||wickets|6||||Kings XI Punjab|20|GJ Maxwell||Kings XI Punjab|Rising Pune Supergiant|Kings XI Punjab|field|AK Chaudhary|C Shamshuddin|Holkar Cricket Stadium||2021-01-26
1082595.yaml|Bengaluru|IPL|2017-04-08|1|male|T20||runs|15||||Royal Challengers Bangalore|20|KM Jadhav||Royal Challengers Bangalore|Delhi Daredevils|Royal Challengers Bangalore|bat|S Ravi|VK Sharma|M.Chinnaswamy Stadium||2021-01-26
1082596.yaml|Hyderabad|IPL|2017-04-09 |1|male|T20||wickets|9||||Sunrisers Hyderabad|20|Rashid Khan||Sunrisers Hyderabad|Gujarat Lions|Sunrisers Hyderabad|field|A Deshmukh|NJ Llong|Rajiv Gandhi International Stadium, Uppal||2021-01-26
1082597.yaml|Mumbai|IPL|2017-04-09 |1|male|T20||wickets|4||||Mumbai Indians|20|N Rana||Mumbai Indians|Kolkata Knight Riders|Mumbai Indians|field|Nitin Menon|CK Nandan|Wankhede Stadium||2021-01-26
1082598.yaml|Indore|IPL|2017-04-10 |1|male|T20||wickets|8||||Kings XI Punjab|20|AR Patel||Kings XI Punjab|Royal Challengers Bangalore|Royal Challengers Bangalore|bat|AK Chaudhary|C Shamshuddin|Holkar Cricket Stadium||2021-01-26
1082599.yaml|Pune|IPL|2017-04-11 |1|male|T20||runs|97||||Delhi Daredevils|20|SV Samson||Rising Pune Supergiant|Delhi Daredevils|Rising Pune Supergiant|field|AY Dandekar|S Ravi|Maharashtra Cricket Association Stadium||2021-01-26
1082600.yaml|Mumbai|IPL|2017-04-12 |1|male|T20||wickets|4||||Mumbai Indians|20|JJ Bumrah||Mumbai Indians|Sunrisers Hyderabad|Mumbai Indians|field|Nitin Menon|CK Nandan|Wankhede Stadium||2021-01-26
